Protein_A,Protein_B,coexpression,experimentally_determined_interaction,database_annotated,combined_score,automated_textmining,Disease associated,Experimental System,Author,Pubmed ID
PDGFRA,PLCG1,0,0.735,0.9,0.988,0.587,Cancer,Affinity Capture-Western,Eriksson A (1995),7535778
PDGFRA,CDKN2A,0.103,0.173,0,0.73,0.666,Cancer,FRET,Li Z (2017),28205554
PDGFRA,STAT3,0.052,0.612,0.7,0.961,0.693,Cancer,Co-localization,Chen TC (2014),25241761
PDGFRA,GRB2,0.055,0.618,0.9,0.974,0.365,Cancer,Affinity Capture-Western,Bazenet CE (1996),8943348
PDGFRA,PDGFRB,0.245,0.734,0.9,0.989,0.52,Cancer,Affinity Capture-Western,Rupp E (1994),7523122
PDGFRA,PTPN11,0.06,0.607,0.9,0.995,0.888,Cancer,Biochemical Activity,Vogel W (1996),8959326
PDGFRA,PDGFC,0.068,0.777,0.9,0.999,0.998,Cancer,Reconstituted Complex,Gilbertson DG (2001),11297552
PDGFRB,PLCG1,0.049,0.986,0.9,0.999,0.914,Cancer,Affinity Capture-Western,Kashishian A (1993),8443409
PDGFRB,RAF1,0.058,0.635,0,0.742,0.311,Cancer,Co-localization,Liu CH (2013),23397142
PDGFRB,CRKL,0,0.376,0.65,0.836,0.312,Cancer,Co-localization,Liu CH (2013),23397142
PDGFRB,ETV6,0,0.292,0,0.893,0.855,Cancer,Affinity Capture-Western,Huang W (2012),22262849
PDGFRB,STAT3,0.059,0.411,0.5,0.915,0.732,Cancer,Co-localization,Chen TC (2014),25241761
PDGFRB,PTEN,0,0.774,0,0.95,0.789,Cancer,Co-localization,Chen TC (2014),25241761
PDGFRB,PIK3R3,0,0.472,0.9,0.955,0.22,Cancer,Co-localization,Chen TC (2014),25241761
PDGFRB,SHC1,0.055,0.376,0.9,0.961,0.421,Cancer,Affinity Capture-Western,Yokote K (1994),8195171
PDGFRB,RASA1,0,0.833,0.5,0.986,0.85,Cancer,Affinity Capture-Western,Farooqui T (2000),10697503
PDGFRB,PTPN11,0.063,0.88,0.9,0.999,0.943,Cancer,Two-hybrid,Keilhack H (2001),11266449
PDGFRB,PIK3R1,0.047,0.931,0.9,0.999,0.9,Cancer,Affinity Capture-Western,Farooqui T (2000),10697503
PDPK1,PRKCZ,0.06,0.752,0.7,0.96,0.507,Cancer,Two-hybrid,Balendran A (2000),10764742
PDPK1,AKT2,0.162,0.464,0.9,0.962,0.213,Cancer,Affinity Capture-Western,Guo J (2016),27563096
PGR,ARID1A,0,0.317,0,0.752,0.652,Cancer,Reconstituted Complex,Vicent GP (2009),19609353
PIK3CA,PLCG1,0.049,0.51,0.9,0.973,0.5,Cancer,Affinity Capture-Western,Dougall WC (1996),8561895
PIK3CA,CYTH2,0.063,0.23,0.65,0.727,0.046,Cancer,PCA,Miao B (2010),21041639
PIK3CA,MYC,0,0.179,0,0.74,0.696,Cancer,FRET,Li Z (2017),28205554
PIK3CA,STAT1,0.058,0.292,0.5,0.74,0.314,Cancer,Biochemical Activity,Nguyen H (2001),11438544
PIK3CA,CYTH3,0.07,0.23,0.65,0.77,0.19,Cancer,PCA,Miao B (2010),21041639
PIK3CA,STK11,0.049,0.178,0,0.844,0.817,Cancer,FRET,Li Z (2017),28205554
PIK3CA,CTNNB1,0.049,0.13,0,0.901,0.89,Cancer,Affinity Capture-MS,Rosenbluh J (2016),27684187
PIK3CA,GNAI3,0.097,0.14,0.9,0.923,0.132,Cancer,Affinity Capture-MS,Rosenbluh J (2016),27684187
PIK3CA,PTPN11,0.118,0.661,0.9,0.99,0.725,Cancer,Affinity Capture-Western,Breitkopf SB (2016),26839216
PIK3CB,CRKL,0.049,0.175,0.65,0.787,0.317,Cancer,Affinity Capture-MS,Huttlin EL (2021),33961781
PIK3CD,PIK3CG,0.087,0.296,0.9,0.994,0.923,Cancer,Reconstituted Complex,Vanhaesebroeck B (1997),9113989
PIK3CG,KRAS,0.052,0.356,0.9,0.968,0.54,Cancer,Reconstituted Complex,Rubio I (1999),10542052
PIK3CG,PIK3R5,0.18,0.969,0.9,0.999,0.998,Cancer,Affinity Capture-Western,Voigt P (2006),16476736
PIK3CG,PIK3R6,0.137,0.322,0.9,0.999,0.988,Cancer,Affinity Capture-Western,Voigt P (2006),16476736
PIK3R1,RRAS2,0.049,0.301,0.65,0.794,0.221,Cancer,Affinity Capture-Western,Rong R (2002),11850823
PIK3R1,ZAP70,0.056,0.33,0.9,0.949,0.293,Cancer,Affinity Capture-Western,Moon KD (2005),15536084
PIK3R1,PTEN,0.056,0.554,0.9,0.997,0.943,Cancer,Affinity Capture-Western,Chagpar RB (2010),20212113
PIK3R1,ALK,0,0.378,0.9,0.973,0.606,Cancer,Reconstituted Complex,Ren SY (2005),16135792
PIK3R1,SNX9,0.058,0.301,0,0.759,0.664,Cancer,Affinity Capture-Western,Badour K (2007),17242350
PIK3R1,ITGB1,0.047,0.361,0.9,0.951,0.291,Cancer,Affinity Capture-Western,Melikova S (2004),15539082
PIK3R1,SOS1,0.144,0.613,0.5,0.927,0.612,Cancer,Co-localization,Chen TC (2014),25241761
PIK3R1,PTPN6,0.042,0.633,0.9,0.971,0.28,Cancer,Far Western,Yu Z (1998),9452499
PIK3R1,SHC1,0.049,0.878,0.4,0.971,0.636,Cancer,Reconstituted Complex,Ren SY (2005),16135792
PIK3R1,HRAS,0,0.688,0.9,0.99,0.707,Cancer,Affinity Capture-Western,Hanna AN (1999),10212255
PIK3R1,FGFR2,0.042,0.416,0.65,0.924,0.659,Cancer,Affinity Capture-Western,Dufour C (2008),18374639
PIK3R1,PIK3CG,0.055,0.492,0.914,0.999,0.987,Cancer,Affinity Capture-Western,Masia S (2007),17595318
PIK3R1,GRB10,0,0.528,0.8,0.948,0.497,Cancer,Affinity Capture-Western,Deng Y (2003),12783867
PIK3R1,PLCG2,0.049,0.616,0.9,0.979,0.503,Cancer,Co-localization,Chen TC (2014),25241761
PIK3R1,VAV1,0.049,0.625,0.9,0.98,0.51,Cancer,Affinity Capture-Western,Bertagnolo V (1998),9891995
PIK3R1,PTPN11,0.048,0.88,0.9,0.996,0.691,Cancer,Affinity Capture-Western,Zhang S (1999),9918857
PIK3R2,SHC1,0.054,0.342,0.4,0.731,0.364,Cancer,Affinity Capture-MS,Brehme M (2009),19380743
PIK3R2,PTPN11,0.044,0.443,0.9,0.96,0.336,Cancer,Affinity Capture-MS,Brehme M (2009),19380743
PIK3R3,YES1,0,0.127,0.5,0.728,0.427,Cancer,Two-hybrid,Luck K (2020),32296183
PIK3R3,SOCS6,0.043,0.522,0.54,0.786,0.104,Cancer,Two-hybrid,Grossmann A (2015),25814554
PLCB1,GNAQ,0.06,0.555,0.9,0.999,0.985,Cancer,Biochemical Activity,Singer AU (2002),11753430
PLCE1,NRAS,0,0.537,0.9,0.974,0.491,Cancer,Two-hybrid,Stelzl U (2005),16169070
PLCG1,SOS2,0,0.552,0,0.73,0.422,Cancer,Two-hybrid,Scholler JK (2000),10940929
PLCG1,PTPN6,0.191,0.297,0,0.7,0.515,Cancer,Affinity Capture-Western,Matalon O (2016),27221712
PLCG1,PRKCE,0,0.292,0.5,0.727,0.292,Cancer,Affinity Capture-Western,Valkova C (2007),17561374
PLCG1,PTPN11,0.114,0.431,0,0.748,0.54,Cancer,Co-fractionation,Havugimana PC (2022),35831314
PLCG1,PLCB3,0.08,0,0.65,0.757,0.307,Cancer,Co-fractionation,Havugimana PC (2022),35831314
PLCG1,PTK2,0.049,0.575,0,0.845,0.648,Cancer,Affinity Capture-Western,Zhang X (1999),10430888
PLCG1,RET,0,0.637,0.5,0.85,0.24,Cancer,Reconstituted Complex,Borrello MG (1996),8628282
PLCG1,RASA1,0.049,0.625,0,0.879,0.69,Cancer,Affinity Capture-Western,Jabado N (1998),9743338
PLCG1,SOS1,0.06,0.751,0.5,0.957,0.676,Cancer,Reconstituted Complex,Kim MJ (2000),10913276
PLCG1,ZAP70,0.145,0.625,0.4,0.959,0.815,Cancer,Affinity Capture-MS,Braiman A (2006),16467851
PLCG1,PIK3R1,0.044,0.311,0.9,0.967,0.571,Cancer,Co-fractionation,Havugimana PC (2022),35831314
PLCG1,VAV1,0.102,0.554,0.9,0.998,0.963,Cancer,Affinity Capture-Western,Bertagnolo V (1998),9891995
PLCG2,PLCG1,0.042,0.387,0.9,0.964,0.448,Cancer,Co-localization,Chen TC (2014),25241761
PLCG2,SHC1,0.042,0.51,0.8,0.93,0.346,Cancer,Affinity Capture-Western,Perskvist N (2000),10623845
PLCG2,PRKCA,0.044,0.292,0.9,0.949,0.348,Cancer,Affinity Capture-Western,Wang J (2006),16923831
PLCG2,VAV1,0.222,0.312,0.9,0.998,0.982,Cancer,Affinity Capture-Western,Guo B (2000),10981967
PLCG2,PTPN11,0.121,0.297,0.8,0.934,0.531,Cancer,Affinity Capture-Western,Boudot C (2002),12135708
PRKCA,CTNNB1,0.044,0.51,0,0.748,0.506,Cancer,Affinity Capture-Western,Mertz JA (2011),21949397
PRKCZ,TIAM1,0.061,0.339,0.8,0.939,0.565,Cancer,Biochemical Activity,Fleming IN (1999),10212259
PTEN,PIK3R2,0,0.313,0.9,0.985,0.806,Cancer,Biochemical Activity,He J (2010),20515662
PTEN,MSH6,0.153,0,0,0.742,0.707,Cancer,Reconstituted Complex,Shen SM (2019),31685992
PTEN,PDGFRA,0.042,0.192,0,0.828,0.796,Cancer,Affinity Capture-MS,Crockett DK (2005),15717329
PTEN,TP53,0.067,0.748,0.9,0.999,0.968,Cancer,Affinity Capture-Western,Freeman DJ (2003),12620407
PTEN,ARID1A,0.057,0.073,0,0.743,0.729,Cancer,Negative Genetic,Feng X (2022),35559673
PTEN,STK11,0,0.331,0,0.979,0.971,Cancer,Affinity Capture-Western,Mehenni H (2005),15987703
PTEN,PTK2,0,0.801,0.9,0.995,0.808,Cancer,Affinity Capture-Western,Tamura M (1999),10400703
PTEN,NOTCH1,0.062,0.099,0,0.758,0.736,Cancer,Synthetic Growth Defect,Vizeacoumar FJ (2013),24104479
PTEN,ESR1,0,0.295,0,0.807,0.737,Cancer,Reconstituted Complex,Lin HK (2004),15205473
PTEN,AR,0,0.295,0,0.892,0.853,Cancer,Reconstituted Complex,Lin HK (2004),15205473
PTEN,MYC,0.044,0.317,0,0.908,0.87,Cancer,FRET,Li Z (2017),28205554
PTEN,AKT1,0,0.648,0,0.988,0.967,Cancer,Affinity Capture-Western,Mistafa O (2010),20605778
PTK2,STAT3,0.097,0.677,0,0.928,0.774,Cancer,Affinity Capture-Western,Ryu H (2000),10925297
PTK2,YES1,0.092,0.795,0,0.837,0.194,Cancer,Affinity Capture-Western,Messina S (2003),12558988
PTK2,STAT1,0.087,0.775,0,0.85,0.328,Cancer,Affinity Capture-Western,Xie B (2001),11278462
PTK2,JAK2,0.087,0.537,0.9,0.962,0.213,Cancer,Affinity Capture-Western,Zhu T (1998),9553131
PTK2,PTPN11,0.109,0.994,0,0.997,0.642,Cancer,Affinity Capture-Western,Manes S (1999),10082579
PTPN11,STAT1,0.076,0.439,0.5,0.961,0.868,Cancer,Two-hybrid,Daakour S (2016),27229929
PTPN11,SOS1,0.06,0.994,0.9,0.999,0.997,Cancer,Affinity Capture-Western,Chin H (1997),9344843
PTPN11,PTPN6,0.042,0.079,0.9,0.95,0.497,Cancer,Affinity Capture-MS,Li X (2016),27432908
PTPN11,SHC1,0.094,0.201,0.8,0.997,0.982,Cancer,Protein-peptide,Koncz G (2001),11453982
PTPN11,PIK3CG,0.087,0.297,0.5,0.755,0.326,Cancer,Affinity Capture-Western,Moraes LA (2010),20723025
PTPN11,AKT1,0.081,0.152,0,0.762,0.718,Cancer,Reconstituted Complex,Shen X (2009),19299420
PTPN11,CTNNB1,0.055,0.297,0,0.902,0.864,Cancer,Affinity Capture-Western,Ukropec JA (2000),10681592
PTPN6,JAK1,0.089,0.333,0.9,0.978,0.683,Cancer,Biochemical Activity,Yetter A (1995),7629131
RAF1,RRAS,0.074,0.717,0.9,0.991,0.729,Cancer,Two-hybrid,Yuryev A (2000),10848612
RAF1,RB1,0.042,0.785,0,0.824,0.211,Cancer,Two-hybrid,Wang S (1998),9819434
RAF1,PRKCE,0,0.325,0.9,0.932,0.076,Cancer,Affinity Capture-Western,Bourbon NA (2001),11350735
RAF1,NF1,0.049,0.343,0,0.812,0.723,Cancer,FRET,Li Z (2017),28205554
RAF1,RAP1A,0.082,0.986,0.9,0.999,0.948,Cancer,Reconstituted Complex,Okada T (1999),10454553
RAF1,JAK2,0.086,0.336,0.4,0.803,0.524,Cancer,Reconstituted Complex,Xia K (1996),8876196
RAF1,PIK3R1,0.042,0.263,0.9,0.944,0.303,Cancer,Affinity Capture-MS,Zhang F (2021),34017080
RALGDS,RRAS,0.055,0.435,0.9,0.999,0.985,Cancer,Reconstituted Complex,Spaargaren M (1994),7809086
RALGDS,RAP1B,0,0.697,0.9,0.987,0.614,Cancer,Two-hybrid,Wang J (2011),21988832
RALGDS,RRAS2,0.055,0.538,0.9,0.97,0.404,Cancer,Two-hybrid,Wang J (2011),21988832
RALGDS,RAP1A,0,0.757,0.9,0.999,0.978,Cancer,Reconstituted Complex,Nancy V (1999),10085114
RAP1A,RAPGEF2,0.073,0.639,0.9,0.996,0.894,Cancer,Reconstituted Complex,Rebhun JF (2000),10934204
RAP1B,RASSF5,0,0.259,0.9,0.973,0.666,Cancer,Two-hybrid,Rolland T (2014),25416956
RAP1GDS1,KRAS,0.064,0.649,0,0.83,0.525,Cancer,Two-hybrid,Vikis HG (2002),11948427
RAP1GDS1,RAP1A,0.064,0.659,0,0.788,0.389,Cancer,Two-hybrid,Vikis HG (2002),11948427
RAPGEF1,RAP1A,0.049,0.66,0.9,0.989,0.715,Cancer,Reconstituted Complex,van den Berghe N (1997),9266971
RAPGEF5,RAP1A,0.042,0.538,0.9,0.986,0.73,Cancer,Biochemical Activity,de Rooij J (2000),10777494
RASA1,KRAS,0.088,0.334,0.9,0.971,0.585,Cancer,Affinity Capture-Western,Liu SS (2021),34407391
RASSF2,RASSF5,0.097,0.724,0,0.896,0.619,Cancer,Two-hybrid,Rolland T (2014),25416956
RASSF5,RRAS,0,0.313,0.9,0.971,0.621,Cancer,Reconstituted Complex,Ortiz-Vega S (2002),11857081
RASSF5,KRAS,0,0.313,0.9,0.981,0.752,Cancer,Reconstituted Complex,Ortiz-Vega S (2002),11857081
RASSF5,MRAS,0,0.313,0.9,0.966,0.547,Cancer,Reconstituted Complex,Ortiz-Vega S (2002),11857081
RB1,E2F6,0.069,0.577,0,0.756,0.43,Cancer,Affinity Capture-MS,Marcon E (2014),24981860
RB1,ANAPC2,0.092,0.51,0.5,0.758,0,Cancer,Affinity Capture-Western,Binne UK (2007),17187060
RB1,RBAK,0.049,0.314,0,0.76,0.662,Cancer,Reconstituted Complex,Skapek SX (2000),10702291
RB1,RBBP8,0.056,0.82,0,0.835,0.11,Cancer,Affinity Capture-Western,Dick FA (2000),10779361
RB1,RBBP7,0.086,0.796,0,0.862,0.32,Cancer,Reconstituted Complex,Yarden RI (1999),10220405
RB1,CDKN1A,0,0.332,0.5,0.876,0.658,Cancer,Affinity Capture-Western,Nakanishi M (1999),10486249
RB1,AR,0,0.629,0.5,0.878,0.397,Cancer,Reconstituted Complex,Lu J (1998),9813067
RB1,TP53,0.064,0.51,0,0.936,0.872,Cancer,Affinity Capture-Western,Delston RB (2011),20871633
RB1,SKP2,0.133,0.514,0.9,0.985,0.696,Cancer,Affinity Capture-Western,Ji P (2004),15469821
RB1,TFDP2,0.087,0.834,0.9,0.987,0.258,Cancer,Affinity Capture-Western,Wu CL (1995),7739537
RB1,E2F5,0.074,0.821,0.9,0.992,0.586,Cancer,Affinity Capture-MS,Marcon E (2014),24981860
RBBP7,LIN9,0.062,0.755,0,0.906,0.625,Cancer,Affinity Capture-MS,Huttlin EL (2015),26186194
RBBP8,ZNF350,0.051,0.292,0,0.99,0.987,Cancer,Affinity Capture-Western,Furuta S (2006),16843262
RET,GAB1,0,0.304,0.5,0.711,0.236,Cancer,Proximity Label-MS,Yadav L (2020),32062451
RET,STAT3,0,0.806,0,0.887,0.444,Cancer,Affinity Capture-Western,Yuan ZL (2004),15485908
RET,PTPN11,0.06,0.074,0.5,0.871,0.739,Cancer,Proximity Label-MS,Salokas K (2022),35384245
RET,SHC1,0.055,0.754,0.4,0.983,0.892,Cancer,Proximity Label-MS,Yadav L (2020),32062451
RGL1,RRAS2,0.055,0.341,0.9,0.937,0.121,Cancer,Affinity Capture-MS,Huttlin EL (2021),33961781
RGL1,NRAS,0.055,0.495,0.9,0.956,0.2,Cancer,Affinity Capture-MS,Huttlin EL (2021),33961781
RGL3,NRAS,0.055,0.417,0.5,0.775,0.281,Cancer,Two-hybrid,Luck K (2020),32296183
RICTOR,PRKCA,0.042,0.292,0,0.84,0.783,Cancer,Reconstituted Complex,Ikenoue T (2008),18566587
RIN1,RRAS,0.083,0.328,0.9,0.944,0.208,Cancer,Affinity Capture-MS,Huttlin EL (2017),28514442
RIN1,RRAS2,0,0.793,0.9,0.981,0.183,Cancer,Affinity Capture-MS,Huttlin EL (2017),28514442
RIN1,RALGDS,0.042,0.23,0,0.86,0.826,Cancer,Two-hybrid,Shao H (1999),10545207
RIN1,NRAS,0,0.403,0.9,0.966,0.483,Cancer,Affinity Capture-MS,Huttlin EL (2017),28514442
RIN1,ABL1,0,0.808,0.9,0.997,0.865,Cancer,Affinity Capture-MS,Huttlin EL (2017),28514442
RRAS2,RAF1,0.074,0.707,0.9,0.985,0.542,Cancer,Two-hybrid,Li W (2000),10783161
SHC1,SOS2,0.055,0.43,0.9,0.999,0.995,Cancer,Affinity Capture-MS,Brehme M (2009),19380743
SHC1,PLCG1,0.049,0.292,0.5,0.896,0.729,Cancer,Affinity Capture-Western,Fixman ED (1996),8662733
SHC1,ZAP70,0.053,0.637,0.9,0.997,0.944,Cancer,Protein-peptide,Ravichandran KS (1993),8235613
SHC1,PTK2,0.049,0.292,0.9,0.995,0.946,Cancer,Affinity Capture-Western,Hecker TP (2002),11980671
SHC1,VAV3,0,0.292,0.5,0.813,0.515,Cancer,Affinity Capture-Western,Zeng L (2000),11094073
SHC1,RAPGEF1,0.049,0.311,0.5,0.792,0.44,Cancer,Affinity Capture-Western,Chin H (1997),9344843
SHC1,JAK2,0.082,0.526,0.9,0.993,0.859,Cancer,Reconstituted Complex,VanderKuur J (1995),7535773
SHC1,SOS1,0.062,0.895,0.9,0.999,0.996,Cancer,Affinity Capture-Western,Chin H (1997),9344843
SHC2,GRB2,0.074,0.334,0.9,0.957,0.395,Cancer,Affinity Capture-Western,Wills MK (2014),24430869
SHC3,ZAP70,0.053,0.315,0.9,0.938,0.168,Cancer,Affinity Capture-Western,Ferro M (2012),22242145
SHC4,GRB2,0.074,0.539,0.9,0.968,0.341,Cancer,Affinity Capture-Western,Wills MK (2014),24430869
SKP2,SMAD4,0.049,0.51,0,0.775,0.556,Cancer,Affinity Capture-Western,Liang M (2004),15314162
SMAD4,RICTOR,0.062,0.06,0,0.765,0.755,Cancer,Affinity Capture-MS,Wong CK (2020),31932471
SMAD4,HRAS,0.057,0.133,0,0.714,0.678,Cancer,Two-hybrid,Arroyo R (2014),24412244
SMAD4,E2F4,0,0,0.9,0.997,0.972,Cancer,Co-fractionation,Havugimana PC (2022),35831314
SMAD4,CTNNB1,0.107,0.308,0.5,0.998,0.994,Cancer,Affinity Capture-Western,Tian YC (2002),12000714
SNX9,PIK3CA,0.056,0.292,0.65,0.757,0.085,Cancer,Reconstituted Complex,Badour K (2007),17242350
SOCS6,PIK3R2,0,0.292,0.54,0.702,0.161,Cancer,Affinity Capture-MS,Krebs DL (2002),12052866
SOCS6,PIK3R1,0.053,0.292,0.54,0.709,0.169,Cancer,Affinity Capture-MS,Krebs DL (2002),12052866
SOS1,ABL1,0.06,0.323,0,0.745,0.631,Cancer,Affinity Capture-Western,Puil L (1994),8112292
STAT1,PDGFRA,0.052,0.612,0.7,0.914,0.314,Cancer,Co-localization,Chen TC (2014),25241761
STAT1,PDGFRB,0.066,0.451,0.5,0.816,0.366,Cancer,Co-localization,Liu CH (2013),23397142
STAT1,STAT3,0.192,0.874,0.9,0.999,0.982,Cancer,Affinity Capture-Western,Spiekermann K (2001),11722592
STAT3,PIK3R2,0.042,0.421,0,0.724,0.542,Cancer,Two-hybrid,Grossmann A (2015),25814554
STAT3,CBL,0.067,0.421,0.5,0.88,0.608,Cancer,Two-hybrid,Grossmann A (2015),25814554
STAT3,PGR,0,0.528,0,0.858,0.711,Cancer,Affinity Capture-Western,Proietti CJ (2011),21184768
STAT3,PIK3R1,0.05,0.421,0.5,0.918,0.74,Cancer,Two-hybrid,Grossmann A (2015),25814554
STAT3,LYN,0.139,0.538,0.5,0.938,0.725,Cancer,Reconstituted Complex,Schreiner SJ (2002),12244095
STAT3,LCK,0.056,0.628,0.5,0.959,0.797,Cancer,Two-hybrid,Grossmann A (2015),25814554
STAT3,PTPN11,0.087,0.526,0.5,0.984,0.935,Cancer,Affinity Capture-Western,Gunaje JJ (2001),11594781
STK11,TP53,0.07,0.621,0.5,0.97,0.852,Cancer,Affinity Capture-MS,Huttlin EL (2021),33961781
STK11,AKT1,0.213,0.26,0,0.748,0.575,Cancer,FRET,Li Z (2017),28205554
TFDP2,CCNE1,0.098,0.44,0.5,0.866,0.533,Cancer,Affinity Capture-MS,Huttlin EL (2021),33961781
TFDP2,E2F5,0.11,0.8,0.8,0.993,0.84,Cancer,Affinity Capture-MS,Huttlin EL (2015),26186194
TFDP2,LIN52,0.043,0.546,0.5,0.835,0.331,Cancer,Affinity Capture-MS,Huttlin EL (2021),33961781
TFDP3,RB1,0.087,0.613,0,0.739,0.319,Cancer,Affinity Capture-MS,Huttlin EL (2015),26186194
TFDP3,E2F4,0.103,0.63,0,0.932,0.811,Cancer,Affinity Capture-MS,Huttlin EL (2015),26186194
TGFA,ERBB2,0,0.409,0.9,0.998,0.978,Cancer,Co-localization,Chen TC (2014),25241761
TP53,CCND1,0,0.292,0,0.946,0.928,Cancer,Affinity Capture-Western,Yang P (2016),27129163
TP53,MSH6,0.049,0.292,0,0.826,0.762,Cancer,Affinity Capture-Western,Yang Q (2004),15064730
TP53,STAT3,0.063,0.164,0.8,0.994,0.97,Cancer,Affinity Capture-MS,Liu J (2020),32807901
TP53,CALML5,0,0.164,0,0.7,0.657,Cancer,Affinity Capture-MS,Liu J (2020),32807901
TP53,IDH1,0,0.139,0,0.845,0.828,Cancer,Affinity Capture-MS,Kim M (2021),34591612
TP53,CDC25C,0.072,0,0.5,0.894,0.791,Cancer,Co-localization,Liu K (2011),21930790
TP53,ERBB2,0.06,0.172,0,0.935,0.924,Cancer,FRET,Li Z (2017),28205554
TP53,ARID1A,0.067,0.292,0,0.961,0.945,Cancer,Affinity Capture-Western,Guan B (2011),21900401
TP53,AKT1,0.049,0.184,0.9,0.994,0.934,Cancer,FRET,Li Z (2017),28205554
TP53,TP53BP1,0,0.993,0,0.999,0.997,Cancer,Co-crystal Structure,Derbyshire DJ (2002),12110597
TP53BP1,MUS81,0.048,0.462,0,0.842,0.716,Cancer,Proximity Label-MS,Gupta R (2018),29656893
TP53BP1,BRCA2,0,0.571,0.36,0.922,0.74,Cancer,Proximity Label-MS,Gupta R (2018),29656893
TP53BP1,CDKN1A,0,0.439,0,0.721,0.524,Cancer,Proximity Label-MS,Gupta R (2018),29656893
TUBG1,TUBGCP6,0.128,0.992,0.54,0.999,0.946,Cancer,Affinity Capture-MS,Fogeron ML (2013),23443559
TUBG1,MZT2A,0,0.421,0.54,0.954,0.842,Cancer,Affinity Capture-MS,Hein MY (2015),26496610
TUBG1,TUBGCP5,0.044,0.99,0.54,0.999,0.822,Cancer,Co-fractionation,Choi YK (2010),21135143
TUBG1,TUBGCP4,0.097,0.992,0.54,0.999,0.928,Cancer,Co-fractionation,Choi YK (2010),21135143
TUBGCP4,TUBGCP5,0.056,0.992,0.9,0.999,0.998,Cancer,Affinity Capture-MS,Hein MY (2015),26496610
TUBGCP5,TUBGCP6,0.045,0.991,0.9,0.999,0.986,Cancer,Affinity Capture-MS,Hein MY (2015),26496610
TUBGCP5,MZT2A,0,0.836,0.8,0.986,0.613,Cancer,Affinity Capture-MS,Hein MY (2015),26496610
TUBGCP5,NME7,0,0.829,0.8,0.987,0.661,Cancer,Affinity Capture-MS,Hein MY (2015),26496610
VAV1,ZAP70,0.149,0.63,0.9,0.999,0.993,Cancer,Reconstituted Complex,Katzav S (1994),7798261
VAV1,PTPN6,0.441,0.292,0.9,0.966,0.241,Cancer,Reconstituted Complex,Kon-Kozlowski M (1996),8632004
YES1,CBL,0.042,0.38,0.5,0.709,0.136,Cancer,Reconstituted Complex,Shishido T (2000),10829062
YES1,SHC1,0.109,0.315,0.8,0.932,0.508,Cancer,Affinity Capture-Western,Juecker M (1995),7499252
YES1,PIK3R1,0.056,0.33,0.5,0.707,0.184,Cancer,Affinity Capture-Western,Juecker M (1995),7499252
ZAP70,PTPN6,0.175,0.333,0.9,0.972,0.556,Cancer,Reconstituted Complex,Plas DR (1996),8638162
ZAP70,GRB2,0.066,0.54,0,0.992,0.984,Cancer,Affinity Capture-Western,Nel AE (1995),7629168
ZNF219,CHD5,0.055,0.843,0,0.847,0.051,Cancer,Affinity Capture-MS,Huttlin EL (2015),26186194
ZNF219,RBBP7,0,0.752,0,0.754,0.047,Cancer,Affinity Capture-MS,Huttlin EL (2015),26186194
ZNF219,HDAC2,0,0.785,0,0.79,0.063,Cancer,Affinity Capture-MS,Huttlin EL (2015),26186194
CLNS1A,COPRS,0.049,0.626,0,0.75,0.354,Skin diseases,Affinity Capture-MS,Cho NH (2022),35271311
DPM2,PIGP,0,0.292,0.9,0.999,0.995,Skin diseases,Affinity Capture-Western,Watanabe R (2000),10944123
NOS3,NOSTRIN,0.047,0.512,0.5,0.911,0.664,Skin diseases,Two-hybrid,Zimmermann K (2002),12446846
NOS3,NOSIP,0,0.51,0.7,0.993,0.961,Skin diseases,Two-hybrid,Dedio J (2001),11149895
PIGH,PIGQ,0,0.329,0.9,0.999,0.999,Skin diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
PIGH,PIGP,0.106,0.394,0.9,0.999,0.999,Skin diseases,Affinity Capture-MS,Huttlin EL (2021),33961781
PIGK,PIGT,0.224,0.997,0.9,0.999,0.999,Skin diseases,Reconstituted Complex,Ohishi K (2003),12582175
PIGP,PIGQ,0,0.292,0.9,0.999,0.998,Skin diseases,Affinity Capture-Western,Watanabe R (2000),10944123
PIGQ,PIGC,0,0.292,0.9,0.999,0.999,Skin diseases,Affinity Capture-Western,Watanabe R (1998),9463366
BAD,BCL2L2,0.074,0.88,0,0.933,0.446,Infectious & Immune,Reconstituted Complex,Bae J (2001),11483855
BCL2L10,BIK,0.042,0.729,0,0.893,0.621,Infectious & Immune,Affinity Capture-Western,Song Q (1999),9878060
BCL2L10,BCL2L11,0,0.944,0,0.993,0.888,Infectious & Immune,Two-hybrid,Luck K (2020),32296183
BCL2L11,BCL2L2,0,0.919,0.54,0.999,0.998,Infectious & Immune,Affinity Capture-Western,O'Connor L (1998),9430630
BCL2L2,BIK,0,0.872,0.54,0.991,0.861,Infectious & Immune,Affinity Capture-Western,Holmgreen SP (1999),10381646
BCL2L2,BID,0.055,0.859,0,0.932,0.532,Infectious & Immune,Protein-peptide,Chen L (2005),15694340
BCL2L2,BBC3,0.049,0.843,0.54,0.979,0.739,Infectious & Immune,Affinity Capture-MS,Huttlin EL (2017),28514442
BCL2L2,HRK,0,0.405,0,0.98,0.968,Infectious & Immune,Protein-peptide,Chen L (2005),15694340
BCL2L2,BMF,0.049,0.534,0,0.996,0.993,Infectious & Immune,Two-hybrid,Rolland T (2014),25416956
